id,click,hour,C1,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21
16966621096879967261,0,14102100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,277996db,5db079b5,1,2,15705,320,50,1722,0,35,-1,79
16966704312567254891,0,14102100,1005,0,4dd0a958,79cf0c8d,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,b43296a1,88fe1d5d,1,0,20352,320,50,2333,0,39,-1,157
16966802232818361042,0,14102100,1005,0,543a539e,c7ca3108,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,28444dcf,24f6b932,1,0,20352,320,50,2333,0,39,-1,157
16966955121871408768,0,14102100,1005,0,8cbacf0b,a434fa42,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,e29c39ee,1f0bc64f,1,0,19772,320,50,2227,0,687,100075,48
16966967299776387737,0,14102100,1005,0,f282ab5a,61eb5bc4,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,d5840a70,2cd8b8ab,1,0,18993,320,50,2161,0,35,-1,157
16967076218226028132,0,14102100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,c1ae1d02,8b1aa260,1,0,15699,320,50,1722,0,35,100084,79
16967132734573787820,0,14102100,1005,0,85f751fd,c4e18dd6,50e219e0,0acbeaa3,45a51db4,f95efa07,a99f214a,23f963d4,e3dc2b01,1,0,20596,320,50,2161,0,35,100034,157
16967363799087155610,1,14102100,1005,0,85f751fd,c4e18dd6,50e219e0,c823f3cc,2347f47a,0f2161f8,a3cada2c,082a7599,d57111ae,1,2,20361,300,250,2333,0,39,-1,157
16967457579752262248,0,14102100,1005,0,030440fe,08ba7db9,76b2941d,ecad2386,7801e8d9,07d7df22,a99f214a,39ca4e1a,3919eb94,1,0,20596,320,50,2161,0,35,100210,157
16967525745255851347,0,14102100,1005,1,5114c672,3f2f3819,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,25bb5ee3,c03563ed,1,0,19771,320,50,2227,0,687,-1,48
16967693127827005776,0,14102100,1005,0,85f751fd,c4e18dd6,50e219e0,e2fcccd2,5c5a694b,0f2161f8,a99f214a,45a193f3,a8d2c4cf,1,0,4687,320,50,423,2,39,100148,32
16967799170550501082,0,14102100,1005,0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,cca86f23,d787e91b,1,0,20632,320,50,2374,3,39,100119,23
1696797030048825406,0,14102100,1005,0,543a539e,c7ca3108,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,bcca3c05,6ce25010,1,0,20366,320,50,2333,0,39,-1,157
16968064383594146204,0,14102100,1005,0,85f751fd,c4e18dd6,50e219e0,6fc85e22,7801e8d9,0f2161f8,c4554c4d,9c0a3094,1f0bc64f,1,0,20596,320,50,2161,0,35,-1,157
16968489590946056986,0,14102100,1005,0,543a539e,c7ca3108,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,bcca3c05,6ce25010,1,0,20362,320,50,2333,0,39,-1,157
16968766427807848134,0,14102100,1005,0,543a539e,c7ca3108,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,69674849,aa2a5321,1,0,20366,320,50,2333,0,39,-1,157
16968948750115306510,0,14102100,1005,0,a7563c35,2471bfbc,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,6ae56b53,ef726eae,1,0,20596,320,50,2161,0,35,100105,157
1696912238304717997,0,14102100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,58115efb,76dc4769,1,0,15708,320,50,1722,0,35,-1,79
16969129346693372786,0,14102100,1005,0,da79c793,71ed77a0,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,a22d86e8,c464aa46,1,0,18993,320,50,2161,0,35,-1,157
16969388062210575982,0,14102100,1005,1,3d88bdd0,28b9656a,72722551,ecad2386,7801e8d9,07d7df22,a99f214a,633bcd03,900981af,1,2,20596,320,50,2161,0,35,100034,157
1696942315868578470,0,14102100,1005,1,d9750ee7,98572c79,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,10de6de4,1ccc7835,1,0,17753,320,50,1993,2,1063,100084,33
16969471061006328055,0,14102100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,c28f15dc,8a4875bd,1,0,15704,320,50,1722,0,35,-1,79
16969604639076850652,0,14102100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,ca91ff47,f37ed101,1,0,15708,320,50,1722,0,35,100083,79
16969645320583858901,0,14102100,1005,1,bc3b3740,f43e535b,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,ae7c0b77,900981af,1,2,18993,320,50,2161,0,35,-1,157
1696971894036260760,1,14102100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,c0e8f3bf,8a4875bd,1,0,15699,320,50,1722,0,35,-1,79
16969940537259792597,0,14102100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,22022020,c2dc1259,1,0,15705,320,50,1722,0,35,-1,79
